Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
civil works in new compound, water pollution spillages to watercourses,any refuelling must not take place within 10 meters of any watercourses
civil works in new compound, coshh,all substances on site will have a coshh assessment present
temporary wooden electrical enclosure build & install," excavation works – contact with services. risk of explosion, electrocution, and flooding.",service location plans obtained and referred to
temporary wooden electrical enclosure build & install," hand tools (cuts, abrasions, minor injuries)", replace any broken or damage tools
hand dug trial holes to locate services, nuisance to operatives/ neighbours. noise pollution, hearing protection mandatory at 85db
civil works in new compound, concrete finish not acceptable final visual finish,concrete will be finished to the required brush finish and trowelled edge by competent tradesmen
gas check area entry, risk of ignition from flammable sources., no smoking or mobile phones allowed within the confined space
gas check area entry, loading & unloading of materials, operatives must stay clear of plant/vehicles being loaded & unloaded
Communal Areas ,Possible contamination of surfaces/areas, Do not enter no go areas
structural steel frame condition survey, collision of plant with other plant and personnel,thumbs up rule to be employed when passing all active plant on site banksman to be used around plant operations where necessary everyone on site to be wearing full ppe to remain visible and protected designated routes will be used to keep the area clear
gas check area entry," slips, trips and falls"," be aware of the increased risks of tripping and slipping as the level of natural light fades; ensure that all tools, equipment and materials are stored in a safe location"
temporary platform construction," lifting operations – collapse, overturning of crane or hiab, collision, falling materials", compliance with on site safety procedures for all lifts
civil works in new compound, excavations/trench collapse,excavations to be adequately fenced off as per safety procedures
embankment works and associated activities," lifting operations – collapse, overturning of hiab or crane, collision, unplanned release of load / strike by falling objects", if outriggers are deployed they should be fully extended and locked off lift plan to be completed by an appointed person. safety procedures to be strictly adhered to
hand dug trial holes to locate services," excavation works – contact with services. risk of explosion, electrocution, and flooding.",safety procedures to be followed insulated tools and flame retardant overalls
retaining wall installation,refuelling plant,cleaning kits to be available at all times
retaining wall installation,mobile telephones, if the need to use a mobile telephone arises you must agree with the supervisor that you can use it
whitelining,manual handling,split loads into manageable lifts 
delivery of materials via highways,staff being struck by a train or otm,ensure safe system of work ssow in place applicable to the task activity
removal of spoil,contamination,contact with contaminated locations identified in the hazard directory to be avoided
removal of spoil,live ohle, crane controller
installation of ducts and chambers,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
reduced level dig,contamination,contact with contaminated locations identified in the hazard directory to be avoided
reduced level dig,encountering damaged cables, exclusion zone established around the damage cable
rrv platform demolition,working on or near the line,inexperienced staff will be accompanied by a mentor
rrv platform demolition,excavation,inspections of all excavations to be carried out at the start of every shift and after inclement weather
compound establishment,plant vehicle movements,segregate pedestrian and vehicle routes banksman to manage plant and vehicle movements
installation of acos,contamination,eating only permitted in vehicles after hand cleansing
installation of acos,refuelling plant,coshh assessments briefed to all persons involved with refuelling procedure ensure a spill kit is readily available and in close proximity when refuelling ensure suitable fire extinguishing media is in close proximity when refuelling ensure suitable plant nappy is placed under petrol driven plant ensure funnels are utilised to allow direct flow of fuel into fuel tank all fuel to be stored in correct containers and appropriately labelled all fuel cans to be stored in a safe location to prevent spark or fire funnels to be utilised as to ensure fuel is poured directly into the fuel tank without spillages
stone trim and compaction,coshh,ppe to be worn as recommended by coshh assessment
stone trim and compaction,temporary storage materials striking a train,do not stack palletised materials in case they become unstable
installation of fence posts,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
stone trim and compaction,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
stone trim and compaction,syringes sharps,take note of the location and inform nds 
installation of tactiles,mobile telephones, if the need to use a mobile telephone arises you must agree with the supervisor that you can use it
installation of tactiles,hazard substance.,use under technical and manufactures specifications wear correct ppe overalls
stone trim and compaction,temporary storage materials striking a train,do not stack palletised materials in case they become unstable
muck away,staff being struck by a train or otm,ensure safe system of work ssow in place applicable to the task activity
muck away,encountering damaged cables, exclusion zone established around the damage cable
muck away,buried services, ensure tools are properly stored
installation of containment,storing materials track side, keep access routes clear of tools
installation of cables,syringes sharps,take note of the location and inform nds 
installation of fencing,plant movement,exclusion zone banksman qualified operator plant daily inspection check sheet
installation of temporary works,working on nights,adequate task lights familiar with work site
installation of fencing,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
installation of fencing,environmental,plant nappy placed under generator
delivery of materials via telehandler,temporary storage materials striking a train,employ site security personnel site access controllers where appropriate
installation of concrete wedge,syringes sharps,take note of the location and inform nds 
installation of cables,noise,noisy equipment such as generators
installation of concrete wedge,buried services,records to be kept of utilities found on site and new services installed on site
installation of lighting columns,havs,select power tools with lowest vibration levels
installation of lighting columns,mobile telephones,mobile telephones to be switched off unless required for safety critical management duties
installation of lighting columns, slips,trips and falls
installation of lighting columns,storing materials track side,materials stored on the lineside must be palletised and banded at minimum m from the nearest running rail
brickwork repairs,coshh,do not leave coshh with medium risk unattended
installation of back of platform fence posts and pinkerbs,mobile telephones, if the need to use a mobile telephone arises you must agree with the supervisor / coss that you can use it
material delivery and muck away within compound,contamination,contact with contaminated locations identified in the hazard directory to be avoided
delivery of materials via rrv,staff being struck by a train or otm,ensure safe system of work ssow in place applicable to the task activity
muck away from satellite compounds,falling object.,exclusion zone to be set up around the works
muck away from satellite compounds,falling object.,use of suitable personal protective equipment ppe head protection consider personal positioning and be aware of adjacent activities
muck away from satellite compounds,coshh,do not leave coshh with medium risk unattended
plant mobilisation.,buried services,permit to break the ground
muck away from satellite compounds,manual handling,split loads into manageable lifts two man lifts if required
stoning up,buried services," avoid continuous exposure ,take rest periods and rotate staff using the equipment"
stoning up,coshh,ppe to be worn as recommended by coshh assessment
plant mobilisation.,working on or near the line,"support staff will set up the ssow in accordance with rule book task leader setting up a safe system of work within a possession be aware of the operational railway, lines open and blocked to traffic, all staff to be trained and competent"
electrical terminations testing,storing materials track side,materials stored on the lineside must be palletised and banded at minimum 3m from the nearest running rail
plant mobilisation.,staff being struck by a train or otm,pos representation system of work and ensure clear understanding of responsibilities
installation of containment,falling object.,good housekeeping in place to ensure nothing is stored in such a way that it will fall from height
installation of containment,falling object," materials, tools or debris must not be thrown down from height"
stoning up,syringes sharps, exclusion zone to be established around the sharps
stoning up,refuelling plant,coshh data sheets to be available on site and briefed to operatives working with hazardous materials
installation of tactiles adhesive stick on.,temporary storage materials striking a train,materials stored on the lineside must be palletised and banded at minimum 3m from the nearest running rail
excavation works.,mobile telephones," if the need to use a mobile telephone arises you must agree with the supervisor/coss that you can use it, and only when in a position of safety signs and barriers to be erected to define the area"
delivery of plant and materials.,mobile telephones," if the need to use a mobile telephone arises you must agree with the supervisor/coss that you can use it, and only when in a position of safety signs and barriers to be erected to define the area"
ducting works.,working near ohle,alo plan for all plant operations whilst lines at site are open to traffic with live ohle to confirm that a minimum clearance of 3
ducting works.,loading platform with plant and materials.,5 m away from platform edge as per tw
ducting works.,encountering damaged cables," avoidance of cables where practicable, otherwise work only under safe conditions determined by competent personnel on site"
site engineering & surveying including pre-start survey, surveying live services and pipes, any noted damaged utilities shall be reported to the client and owner and works halted until addressed and/or been repaired
call out procedure for temporary treatment plant, lifting of equipment for inspect or repair,ensure all lifting equipment has been inspected and has correct tag in line with loler regulations
commissioning of new 2 cell reservoir and de-commissioning of existing reservoir., on site chemicals, do not access any areas where chemicals are being stored unless deemed safe to do so 
 enabling works., encountering damaged cables,remote visual inspection to determine damage to cables before inspection/measurement 
 enabling works., storing materials trackside, do not stack palletised materials in case they become unstable 
 enabling works., buried services, buried services drawings to be attached to permit and briefed to all involved 
 delivery of plant and materials.," injury from use of powered tools, plant and work equipment havs, noise, dust / debris, fuel fire / spills, personal injury.", 80 to 85db ear protection is advised suitable ear protection available at all times appropriate ppe to be worn (goggles / dust mask) by operator and personnel working in close proximity 
 delivery of plant and materials., working on or near the line, site keeper on site 
 enabling works., plant / vehicle movements," trained & competent operators and banksman, check certification wear hi-vis at all times do not walk behind plant responsible person to ensure 10m exclusion zone is maintained around plant at all times "
installation of copers,encountering damaged cables,remote visual inspection to determine damage to cables before inspection/measurement 
installation of pin-kerbs.,staff being struck by a train or otm,operatives briefed by the coss on the safe system of work 
installation of pin-kerbs.,"injury from use of powered tools, plant and work equipment havs, noise, dust / debris, fuel fire / spills, personal injury.",examination of tool bits / blades for excessive wear or damage prior to starting gauntlets to be worn when strimming and using brush cutters 
installation of pin-kerbs.,syringes / sharps,take note of the location and inform sco 24:7 
installation of pin-kerbs.,excavation works,inspections of all excavations to be carried out at the start of every shift and after inclement weather 
installation of pin-kerbs.,buried services,"avoid continuous exposure, take rest periods & rotate staff using the equipment "
installation of copers,mobile telephones,"if the need to use a mobile telephone arises you must agree with the supervisor/coss that you can use it, and only when in a position of safety signs and barriers to be erected to define the area "
installation of pin-kerbs.,working on or near the open line. interface with siemens depot and sidings.,local arrangement with siemens depot 
installation of copers,syringes / sharps,"exclusion zone to be established around the sharps, where possible barriers erected "
installation of copers,working on or near the open line. ,local arrangement with siemens depot 
installation of copers,coshh,exposure times as per coshh assessment states 
installation of copers,refuelling plant,all fuel cans to be stored in a safe place to prevent a spark or fire funnels to be utilised as to ensure fuel is poured straight into tank avoiding spillages 
fencing works.,syringes / sharps,all staff to remain vigilant and if encountered vacate the area 
 retaining wall installation, plant movement,exclusion zone banksman qualified operator plant daily inspection check sheet 
 retaining wall installation, contamination,contact with contaminated locations identified in the hazard directory to be avoided 
 retaining wall installation, coshh, do not leave coshh with medium risk unattended 
 retaining wall installation, lifting operations, area cordoned off; permit to lift to be issued and briefed; lift plan to be issued; loading supervisor or appointed person in place; all lifting equipment and accessories to be checked against safe working loads (swl); correct ppe; control weather condition; trained and competent operatives; 
camera survey of 350mm washwater main that passes under poly dosing plant, noise,ear protection to be worn during activities of excessive noise signage to be displayed to make operatives aware when ear protection is compulsory visitors to be briefed on any noisy activities taking place on site
installation of tactiles,noise,"hearing protection in place, exclusion zones around driving activities, ear defenders during noisy activity"
installation of fencing,noise,"hearing protection in place, exclusion zones around driving activities, ear defenders during noisy activity"
 installation of tactiles, mobile telephones,"If the need to use a mobile telephone arises you must agree with the supervisor/coss that you can use it, and only when in a position of safety signs and barriers. Signs and barriers to be erected to define the area"
Handling Materials,"Dermatitis, cuts and bruises COSHH Damage to skin, water contact. Mechanical lifting",Forklift activity will be controlled under separate RAMs. A lift permit will also be issued if required
Handling Materials Strain Press Breaking Out,"Damage to skin, water contact. Mechanical lifting",Operatives to wear correct impervious gloves and correct puncture resistance gloves to protect skin
Site Accommodation Installation,Pulled muscles / back problems or Personal injury, Never lift more than physically comfortable
install stop blocks to access ramp to tip, poor weather,Work will cease during persistent rain/wet weather. During windy conditions an assessment will be made
 Removal of concrete around recirculation pwk flanges,"Areas untidy, materials causing trip hazards Slips, trips & falls", All trip hazards removed immediately
laying slabs to form footpaths," hand tools (cuts, abrasions, minor injuries)",Do not leave tools laying around put them away when not in use
temporary platform construction,Manual handling - injury to limbs or back, individuals must lift within their own capabilities
temporary platform construction,Manual handling - injury to limbs or back, safe lifting techniques shall be applied
 Removal of upvc window frame,Operatives receiving muscular and skeletal injuries by incorrect lifting practices Manual handling,"Operatives to lift no more than 20kg on their own. If load is heavier, then two operatives should lift together or seek mechanical aid"
Gas Plinths,Operatives receiving muscular and skeletal injuries by incorrect lifting practices Manual handling,"Operatives to lift no more than 20kg on their own. If load is heavier, then two operatives should lift together or seek mechanical aid"
general work on site,"Injury/Death incurred from Slips, Trips or Falls.","Good housekeeping and removal of debris and equipment from areas in and around space will reduce potential for slips, trips and falls"
Access/ Egress to work area and around site. ,"Falling over, sprains, collision, trips, entrapment."," Be careful when walking on uneven ground, check the route for obstacles and remain vigilant"
flood gate preparation,"Contamination of soil, water course and ground with diesel, hydraulic oil, engine oil and petrol spills", when plant not in use it is to be stored in the compound away from drains and the main river
site establishment ,"contamination of soil, water course and ground.", plant nappies and spill kits to be in place at all times
removal of dwarf wall,"Contamination of soil, water course and ground with diesel, hydraulic oil, engine oil and petrol spills",fuel tanks to be kept locked at all time to stop unauthorised access
service trial holes,"Contamination of soil, water course and ground with diesel, hydraulic oil, engine oil and petrol spills", refuelling of excavator will be done using fuel cans and a funnel
brickworks repair and white lining.,Working near OHLE,works on station platforms controlled by swl 1 or barriers to prevent encroaching 
brickworks repair.,Working near OHLE,alo plan for all plant operations whilst lines at site are open to traffic with live ohle to confirm that a minimum clearance of 3
excavation works.,refuelling plant,"Ensure only trained personnel are used to refill any plant on site, also ensure appropriate PPE is worn at all times"
 enabling works., refuelling plant,"Ensure only trained personnel are used to refill any plant on site, also ensure appropriate PPE is worn at all times"
 delivery of plant and materials., refuelling plant,"Ensure only trained personnel are used to refill any plant on site, also ensure appropriate PPE is worn at all times "
 excavation and backfilling works., refuelling plant,"Ensure only trained personnel are used to refill any plant on site, also ensure appropriate PPE is worn at all times"
 installation of tactiles," injury from use of powered tools, plant and work equipment  havs, noise, dust / debris, fuel fire / spills, personal injury.","Plant and work equipment HAVS, keep hands warm and regular rotation of operatives to share HAVS exposure. Trigger times to be pre-calculated and individuals times to be clearly monitored"
 installation of tactiles," injury from use of powered tools, plant and work equipment - havs, noise, dust / debris, fuel fire / spills, personal injury.","Plant and work equipment HAVS, keep hands warm and regular rotation of operatives to share HAVS exposure. Trigger times to be pre-calculated and individuals times to be clearly monitored"
Replacement of 90° Bends with Tee pieces and valves,"Slips, trips, falling down, Intrusion by members of public or client Intrusion into work area by unauthorised personnel",Observe closed gate policy Barriers erected around work area and open edges
safe use of excavators general,Flying Material from vehicles fitted with breaker,Eye protection to be worn by operatives in the vicinity
safe use of excavators general,Flying Material from vehicles fitted with breaker,Exclusion zone around machine
laying slabs to form footpaths," hand tools (cuts, abrasions, minor injuries)",Wear correct PPE at all times
structural steel frame condition survey, lone working,Mobile phone/radio transceiver to be available at all times. Any operators using a cherry picker to work in pairs
stoning up,excavation,excavations in the track support zone during possession with track hand back
General Use of Road Planer Milling Operations,"Dust inhalation, concrete and cement, personnel and public.", Planers dust suppression system to be used and maintained in good working order
install stop blocks to access ramp to tip, working on live treatment works,all operatives to receive a site induction. Operative to familiarise themselves with emergency assembly points
 Removal/installation of pwk in food waste plant,Electrocution Powertools,All tools to be in good condition have a current PAT test and be visually inspected
use of wacker plate,Crushed or injured by plate.,"Keep hands and feet clear of plate, motor, moving parts and pinch points"
 installation of tactiles, coronavirus / covid-19,social distancing always
removal of spoil via rrv,live ohle,no works will encroach 
 compound maintenance works, refuelling plant, coshh data sheets to be available on site and briefed to operatives working with hazardous materials 
 compound maintenance works, buried services, mark up and support if necessary 
 delivery of materials , hazardous substance,"use under technical and manufactures specifications; wear correct ppe: overalls, concrete gloves, safety goggles, dust mask; ensure that hazardous substances are put back into a secure location after use "
excavation works.,working near Overhead line equipment ,materials/equipment handled below shoulder height and carried horizontally at waist height
excavation works.,working near hole,do not over sail the site boundary
rrv platform demolition,coshh,coshh assessments to be completed for all products on site
brickwork repairs,coshh,coshh assessments to be completed for all products on site
 installation of tactiles, mobile telephones,mobile telephones to be switched off unless required for safety critical management duties 
 excavation and backfilling works., refuelling plant, emergency spillage clean-up companies to be in place prior to works starting in case of incident all fuel to be stored in correct containers which are appropriately labelled 
 excavation and backfilling works., excavation works, access into excavations to be restricted to necessary persons only 
constructing a concrete plinth to cap off storage pipe risers, noise/air pollution disturbance to neighbours air/noise/fumes, use soundproof matting to limit noise levels
civil works in new compound," site operatives, plant operatives, visitors, general public, environment ecology", care to be taken during all site operations to ensure there is no damage/vandalism to the local environment
civil works in new compound, noise/air pollution/disturbance to neighbours release to air/noise/fumes,limit working hours
hand dug trial holes to locate services, litter blowing around site windblown waste / litter,site waste management plan developed enclosed/covered skips and bins provided
dust suppression for bulk earthworks, weather conditions,work to cease before haul routes become impassable or rutted due to heavy rain weather forecasts to be obtained to assist with forward planning and communicated in briefing low parts of site will be extremely wet/boggy and susceptible to heavy rainfall
dust suppression for bulk earthworks, noise, where noise levels are greater between 80 to 84db personnel will be told that hearing protection is advisable
flood gate preparation, buried services cable strike,permit to break ground to be in place area to be scanned using cat & genny and all services to be marked out prior to breaking ground in date service plans available on site further c&g checks to be carried out as the excavation proceeds
hand dug trial holes to locate services, soft / unstable / uneven / slippery ground & presence of debris, operatives to cease work when conditions become unsafe and assess whether to supply rock salt
hand dug trial holes to locate services, litter blowing around site windblown waste / litter,site waste management plan developed enclosed/covered skips and bins provided
hand dug trial holes to locate services, adverse weather conditions,"site manager to undertake regular assessment of ground conditions before each shift commences, during and after heavy storms daily weather forecast to be available and provided to the site team during the morning brief operatives to cease work when conditions become unsafe and assess whether to supply rock salt"
gas check area entry, working in a gas check area, monitoring gas detector results on (minimum) hourly basis
service trial holes, manual handling small plant and materials, the area must be kept clear of any debris
pipework installation and grading work, cut or trap fingers using hydraulic torque and/or impact wrench, do not exceed agreed torque settings
pipework installation and grading work, use of abrasive wheel equipment, where practical use ‘wet cutting’ to reduce dust
pipework installation and grading work, local landscape petroleum products and refuelling operations, fire extinguishers available in cabins and vehicles
pipelaying activity, noise dust general nuisance fuel spillages,all work will be carried out in accordance with the site environmental plan
digging trial holes, overhead/buried services, daily briefings to include all service locations and work in and around the location
laying concrete plinths for booster pumps, plant movement, attract driver’s attention before approaching machine use plant with fitted cameras if possible banksman with machines at all time include plant working areas in the morning briefings
breakout 600mm pipe and bench up, slips trips and falls,wear the correct footwear and keep working area clean and free of tools and plant
over pumping, permanent loss of environment damage to vegetation,keep mobile plant clear of established trees and hedge lines
"concreting, reinstatement & footpath construction", plant movements,operatives/visitors to stay well clear of plant at all times if possible plant movements / pedestrian walkways to be segregated operator to keep mirrors and windows clean to aid visibility
installation of new outfall, contaminating water course pumping water, pump to be installed on drip tray straw bales/siltbuster will be used to filter silt from surface run off
installation of new outfall, noise,noise assessments to be carried out all possible noise sources to be identified in ra/ms and appropriate ppe to be worn signage to be erected
installation of new outfall, contaminating water course pumping water,if groundwater is encountered pump to be used
"concreting, reinstatement & footpath construction", concrete works, cosh assessment to be briefed
"concreting, reinstatement & footpath construction", noise," if possible, move the noise source away from the work area or move the work area away from the noise"
"concreting, reinstatement & footpath construction", manual handling, check ground conditions prior to moving loads across the working area
site establishment ," slips, trips and falls", any tools and materials not being used out on site should be returned to the storage area
site traffic management, impact on protected habitat fuel/hydraulic spill,check all plant prior to operation spill kits to be present in all mobile plant bio oil to be used where practicable diesel bowser to be kept locked at all times
regrade embankment & lower existing mh, below ground services, trial holes dug to locate existing services and logged
over pumping of existing 300mm & 225mm pipe, finger trapping,operatives to be wearing suitable task specific gloves
spel tank, working around existing structures,there are a number of existing mh on the embankment
spel tank, working at height," ladder to be inspected, tagged and pre-use checked"
commissioning of new 2 cell reservoir and de-commissioning of existing reservoir., leaving litter or waste on site. waste.,ensure litter is kept in works vehicles and disposed of correctly
laying slabs to form footpaths," site transport & deliveries – falling loads, collision, contact with pedestrians & general public", all fencing around the works to be closed at all times with areas fully signed
"excavation to sludge tank, formation and pipework ", working at height," no person shall attempt repairs to broken or damaged equipment, unless trained and authorised to do so"
civil modifications at existing chemical dosing shower position, contamination of surface water/water courses/treatment works chemical & fuel spillages, internal bund to be checked for spillages and level daily
civil modifications at existing chemical dosing shower position, noise," if possible, move the noise source away from the work area or move the work area away from the noise"
civil modifications at existing chemical dosing shower position, use of shower,site authorisation in place
laying 80mm ductile and valving, site ops/visitors/general public/environment ecology, care to be taken during all site operations to ensure there is no damage/vandalism to the local environment
civil works in new compound, ground conditions/uneven ground/overturning vehicles and plant,works in area of flat ground
Excavation Strain Press Breaking Out,"Slips, trips & falls",Work area to be kept clean & tidy at all times
use of tractaire/loading shovel/ jcb 2cx streetmaster,"slips, trips and falls during mounting and dismounting ",always maintain 3 points of contact
use of tractaire/loading shovel/ jcb 2cx streetmaster, turnover of machine instability,keep all four wheels evenly on the surface at all times
Over pressure of equipment GAS DRAW OFF MAIN PRESSURE TEST,Release of Kinetic energy through pipework movement,Fit anti whip restraint to temporary flexible test hose connection
Nitrogen Purging of Biogas Main,Unauthorised valve operations,"Valve schedule used, signs posted on valves"
 use of chipper,Impact with pedestrians or other operatives Impact with live traffic Reversing into other vehicles or plant Reversing into pedestrians or other operatives, Chipper to be reversed up ramps under guidance from a banksman and brought to a halt once level
Excavation Tee Connection on Potable Water Main ,Intrusion into work area by unauthorised personnel,Barriers erected around work area and open edges
Site Accommodation Installation (16 Bay),Load colliding/ crushing with property or Personnel Uncontrollable loads, Access to the roof of units should be avoided in adverse weather conditions
 working at night,Electric Shock Setting up lights for worksite Overhead cables Tipping lorries., Generators should not be filled with fuel on top of machines
 shoveling or raking bituminous material,Overturning whilst tipping.,Driver to ensure that Dumper is on level ground before tipping
 use of wacker plate,Hand Arm Vibration, Provision of suitable PPE including ear protection and suitable warm clothing including gloves Provide HAVS monitoring systems -
 use of wacker plate,Manual Handling,Follow correct manual handling techniques and ensure adequate manual handling training carried out
 connecting and disconnecting towable items,"Slips, Trips, Falls Ground Conditions", Clear any obstacles from the area
using tractaire/loading shovel/ jcb 2cx streetmaster,Impact From moving machine, Maintain safe working distance from personnel (3m in front and 5m behind)
 general surfacing operation - use of paver,Fumes from LPG & bitumen products Nausea Eye irritation Inhalation (headaches),Face masks available
 use of wacker plate,Crushing," Take care of wacker bouncing when compacting or coming into contact around metal covers, grates or frames"
 working at night,"Slips, Trips and Falls", Ensure boots are in good condition and clean
" safe use of bitumen boilers (sealing joints with bitumen, lighting burner on heater, filling/topping up heater with cold bitumen)",Crush Injury Trapping fingers.,Do not place hands between bitumen block and boiler
 working at night,"Slips, Trips and Falls", Do not jump down from the machine or the last step
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,Noise," Driver and operatives in vicinity to wear Suitable hearing protection at all times (Minimum 30dB(A) Ensure where practical, periods of rest are introduced away from Hearing protection zone, operate a rotation system for drivers"
 refuelling of plant and storage of materials,Manual Handling,Use mechanical lifting techniques where possible
 take up and re-lay or lay new kerbs/channel blocks/edgings/tactiles/paving slabs.,"Slips, Trips, Falls", Ensure any unfinished works are suitably cordoned off whilst away from site
 Removal/installation of pwk in food waste plant,Operative exposed to excessive hand arm vibration HAVs,"Operatives to check HAVs chart and locate allowed daily exposure time, if exposure time is longer than allowed then operatives are to rotate trigger time to minimize exposure to hand arm vibration"
 Ecological Supervision of Clearance works,Coming into contact with sewage / waste / contracting Leptospirosis, Always wash hands/use hygiene wipes immediately after removing gloves
using hgvs & fleet vehicles,Heavy plant & general construction activities, Take extra care when approaching accident blackspots and adhere to all road traffic signs and road markings
 diamond core drilling, moving mechanical parts inc drill bits,all machines are designed to be operated away from any moving parts and all equipment is properly maintained in accordance with the manufactures instructions and specifications
 plant checks,"Slips, trips and falls",Keep boots clean
 Generic Cleaning Site Offices,Major injury Minor injury Shock Violence, Remain in vehicle where problems may arise
Stacking and unstacking Digester Sludge Plinths & Ducts,Unexpected moving items, Materials should be checked for sharpness and points and subsequently protected before being left
Excavator Use Digester Sludge Plinths & Ducts,Lost load or bucket to quick hitch failure,"Trained competent operators only, CPCS red/blue card holders"
using hgvs & fleet vehicles,Maintenance,Maintenance to be carried out in accordance with the manufacturers schedule and applicable legal requirements
using hgvs & fleet vehicles,Safety Features,Vehicle purchasing policy to incorporate the highest EURO NCAP rating currently available
using hgvs & fleet vehicles,Maintenance, Approved mechanics only to be used for maintenance
Placing 150mm od sewer rising main, respirable hazards,"all operatives to be face fit registered all operatives to wear pp3 masks, for any grinding / cutting"
280mm pe sdr11 rising main installation., cut or trap fingers using hydraulic torque and/or impact wrench, follow manufacturer’s instructions
280mm pe sdr11 rising main installation.," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances", substances shall not be used if there is no label on the container
280mm pe sdr11 rising main installation., litter/waste blowing around site pollution due to site waste, enclosed skips and bins shall have the appropriate signage displayed
manual handling activities, moving loads, ensure operatives have adequate opportunities for rest periods or change to another task which uses a different set of muscles
manual handling activities, weights of loads.," the circumstances in which the load is handled must also be taken into account, for example"
manual handling activities, weights of loads., where possible get materials like liquids and powders packaged in smaller containers
contact tank & pumping station underslab pipework & ducts, manual handling,mechanical means of lifting to be used where possible trained & experienced ops
pressure testing 300mm raw water road crossing mains, pressurising pipeline,5 bar all fittings are pn16 rated tw assessment undertaken
 service reservoir confined space entry – asbestos survey, leptospirosis, the operatives shall follow good hygiene practices
 removal of palisade fencing at linden avenue and nwl boundary., slips/ skids on public roads road gulley blocking/ possible flooding of roads mud/ debris,haul road to the site works area to be constructed using road planings works areas in the development carpeted with stone as a running surface road brush to be employed full time during bulk earthworks activities road brush and haul road maintenance to be carried out as required to keep linden avenue free from stone chippings and debris
 removal of palisade fencing at linden avenue and nwl boundary., lifting operations., appropriate training ( lifting ops )if using excavator for lifting
gravity sewer and rising main, high failure of hard standings or rapid degrading,ensure fill materials are monitored correctly compacted and protected and that temp works brief full fills requirements of site and that hardstands are maintained
"excavation, shutters, mesh and concrete", working next to structure and services,no excavations will be permitted to undermine any structure
excavate trial holes, havs, where possible use equipment that eliminates the need for hand held tools
excavate trial holes," local landscape, ecological features and inhabitants pollution/damage to ecological features and inhabitants due to use of hazardous substances", all persons shall wear the ppe and / or rpe designated as necessary in the rams
excavate trial holes, silt deposits pollution release of groundwater from excavations and rainwater runoff,work in accordance with environment agency pollution prevention guidelines ppg5
install stop blocks to access ramp to tip, contamination of a watercourse. fuel spillage,drip trays to be used for any standing plant
excavate trial holes, noise/air pollution disturbance to neighbours air/noise/fumes, use dust suppression equipment
use of cutting equipment and drills, use of portable hand held tools, spill kits and plant nappies must be onsite and available to clean up any fuel/oil spillages
site engineering & surveying including pre-start survey, manual handling," use 2+ man lift for heavy / bulky items, especially in windy conditions"
use of cutting equipment and drills, dust,"where it is possible, the job should be planned to eliminate harmful dust and fumes"
280mm pe sdr11 rising main installation., traffic management and land entry," do not block gateways or access tracks, park vehicles in designated areas wherever possible"
280mm pe sdr11 rising main installation., excavations, excavations shall be inspected on a regular basis during the dig
280mm pe sdr11 rising main installation., tracking loads, keep load as close to the ground as possible
280mm pe sdr11 rising main installation., water ingress, use sediment tanks and filter socks on delivery hoses to prevent discolouration to the drainage ditches
280mm pe sdr11 rising main installation., weather and winter working, regular assessment of ground conditions during and after heavy storms
280mm pe sdr11 rising main installation., cartridge operated tools, always wear ppe when using cartridge-operated tools
call out procedure for temporary treatment plant, working with electrical equipment, cables to be checked for damage and defects to before use and any issues reported to site management
call out procedure for temporary treatment plant, working at night / out of hours (alarm call out), engineers / operatives to be supplied with sufficient personal lighting (head torches)
call out procedure for temporary treatment plant, working with sewage, avoid handling sewage rags as may contain needles/sharps
laying slabs to form footpaths," lifting operations – collapse, overturning of crane or hiab, collision, falling materials"," all lifting plant, chains, slings and shackles should be certified and inspected before use"
constructing a concrete plinth to cap off storage pipe risers, fencing/security, fencing/barriers shall be erected and maintained in an orderly manner
winter working & driving conditions, vehicle maintenance," fluids are kept topped up, especially windscreen wash (to the correct concentration to prevent it freezing), anti-freeze and oil"
excavate trench to allow the installation of temporary electric cables, waterborne diseases / infections – weils disease, during site induction welfare facilities to be regularly cleaned and maintained (cleaning rota to be produced) site personnel to observe good hygiene practice and wash hand before drinking / smoking
excavate trench to allow the installation of temporary electric cables, contamination of the existing watercourses fuel spillage,fuel storage tanks either to be self-bunded refuelling undertaken within site compound only and no less than 10m away from watercourses
temporary wooden electrical enclosure build & install, soft / unstable / uneven / slippery ground & presence of debris, operatives to cease work when conditions become unsafe and assess whether to supply rock salt
temporary wooden electrical enclosure build & install, manual handling, individuals must lift within their own capabilities
earthworks for trial bund, physical injury to operatives while cleaning and maintenance,machines to be turned off and isolated during cleaning and maintenance
installation of sheet piles, working next to existing structures undermining of structure damage to structure collapse of structure, structure to be monitored for signs of movement
flood gate preparation, coshh, any training required to use the substance will be carried out before work commences
removal of dwarf wall,disturbing uo striking uxo,all operatives to briefed on uxo during induction with tbt hand dig and vac-ex only excavation to 1m
